,Unnamed: 0,Title,True Class,Model Class,Model Probability
19,19,inter_swap/yes/text1852756_10184_2021-05-26-no.txt,2,1,0.8557908023641057
33,33,inter_swap/yes/text161700_5975_2021-05-26-yes.txt,2,1,0.8423750955993866
171,171,inter_swap/yes/text (421)-yes.txt,2,1,0.8554491677657337
284,284,inter_swap/yes/text403141_16130_2021-05-26-yes.txt,2,1,0.8763956180202654
309,309,inter_swap/yes/text2025273_6557_2021-05-26-no.txt,2,1,0.8172142684387909
358,358,inter_swap/yes/text-146_12650_2021-05-26-yes.txt,2,1,0.8446157328791594
444,444,inter_swap/yes/textNo1383-yes.txt,2,1,0.890151795663791
495,495,inter_swap/yes/text (1225)-yes.txt,2,1,0.8641414512672198
538,538,inter_swap/yes/text (123)-yes.txt,2,1,0.8186093956539128
541,541,inter_swap/yes/text325177_6406_2021-05-26-yes.txt,2,1,0.8871552790006988
718,718,inter_swap/yes/text (1669)-yes.txt,2,1,0.8794707784949689
787,787,inter_swap/yes/text2543338_1237_2021-05-26-yes.txt,2,1,0.8162703810753312
790,790,inter_swap/yes/text1412-yes.txt,2,1,0.8190393396976585
829,829,inter_swap/yes/text (1452)-no.txt,2,1,0.857439786377852
864,864,inter_swap/yes/textNo8 (2)-yes.txt,2,1,0.8507387370992077
869,869,inter_swap/yes/text (1429)-yes.txt,2,1,0.8564651072475268
983,983,inter_swap/yes/text700409_3271_2021-05-26-yes.txt,2,1,0.8247768560328109
1072,1072,inter_swap/yes/text b (139)-yes.txt,2,1,0.8066534028518201
1089,1089,inter_swap/yes/text (2267)-yes.txt,2,1,0.8691501675922562
1159,1159,inter_swap/yes/text30367_2695_2021-05-26-yes.txt,2,1,0.8317051893280616
1274,1274,inter_swap/yes/text661652_2050_2021-05-26-yes.txt,2,1,0.8797563380471931
1282,1282,inter_swap/yes/text (323)-yes.txt,2,1,0.8505312523459403
1437,1437,inter_swap/yes/text1938216_5281_2021-05-26-yes.txt,2,1,0.8324861082635779
1580,1580,inter_swap/yes/text (356)-yes.txt,2,1,0.8564378313033433
1833,1833,inter_swap/yes/text1488978_9620_2021-05-26-yes.txt,2,1,0.8246587799197578
1867,1867,inter_swap/yes/text (973)-yes.txt,2,1,0.8179127682690167
1871,1871,inter_swap/yes/text1007804_7664_2021-05-26-yes.txt,2,1,0.8224510523260452
1882,1882,inter_swap/yes/text-277_12669_2021-05-26-yes.txt,2,1,0.8312027336759176
1884,1884,inter_swap/yes/text178594_4819_2021-05-26-yes.txt,2,1,0.8301602308187872
1894,1894,inter_swap/yes/text2522067_15475_2021-05-26-yes.txt,2,1,0.8318938058701676
1896,1896,inter_swap/yes/text823272_13957_2021-05-26-yes.txt,2,1,0.8529902067658159
1943,1943,inter_swap/yes/text (290)-yes.txt,2,1,0.8223026982251216
2081,2081,inter_swap/yes/text2386713_6855_2021-05-26-yes.txt,2,1,0.8401207005329123
2177,2177,inter_swap/yes/text1700743_6388_2021-05-26-yes.txt,2,1,0.8245549063497757
